Address,Year_Built,Story_Number,Unit_Number,Evaluation_Score,Parking_Area,Elevator_Maintenance,Building_Cleanliness,Windows
1678 Toronto Road,1939,29,236,50,0,0,3,1
1679 Toronto Road,1992,25,341,59,2,1,0,2
1680 Toronto Road,2012,9,335,93,0,2,1,0
1681 Toronto Road,1956,4,155,10,1,1,0,0
1682 Toronto Road,1874,13,705,24,2,2,3,0
1683 Toronto Road,1934,49,693,88,2,3,1,2
1684 Toronto Road,2005,30,703,78,1,0,2,1
1685 Toronto Road,1946,9,377,26,2,3,2,2
1686 Toronto Road,2014,26,682,25,3,3,2,1
1687 Toronto Road,1896,39,515,50,3,2,0,2
1688 Toronto Road,1875,7,422,48,2,2,2,3
1689 Toronto Road,1869,25,158,74,0,2,3,2
1690 Toronto Road,1977,30,368,50,3,0,0,0
1691 Toronto Road,1948,37,372,64,1,3,0,2
1692 Toronto Road,1962,29,441,56,1,1,2,2
1693 Toronto Road,1986,50,575,50,0,1,0,2
1694 Toronto Road,1943,32,190,9,0,2,2,1
1695 Toronto Road,1992,22,411,32,3,3,2,2
1696 Toronto Road,1920,5,340,41,1,1,3,0
1697 Toronto Road,1909,9,402,69,0,0,1,3
1698 Toronto Road,1933,43,50,19,0,1,1,1
1699 Toronto Road,1921,4,53,79,1,3,3,0
1700 Toronto Road,1963,19,187,33,2,2,2,2
1701 Toronto Road,1988,8,618,30,0,3,0,1
1702 Toronto Road,1999,33,445,86,2,1,0,3
1703 Toronto Road,1883,43,309,100,1,1,0,1
1704 Toronto Road,1932,51,445,50,0,2,0,1
1705 Toronto Road,1921,9,284,71,1,1,2,1
1706 Toronto Road,2018,47,296,36,1,3,2,2
1707 Toronto Road,1940,42,403,55,2,3,3,0
1708 Toronto Road,1843,39,479,65,3,3,2,0
1709 Toronto Road,1874,45,313,40,2,2,3,0
1710 Toronto Road,1961,26,467,90,2,2,2,0
1711 Toronto Road,1919,5,669,65,1,3,3,2
1712 Toronto Road,1857,12,502,70,1,2,3,2
1713 Toronto Road,1997,26,696,32,3,1,3,0
1714 Toronto Road,1934,29,304,4,1,1,3,2
1715 Toronto Road,1881,6,569,87,1,1,0,1
1716 Toronto Road,1878,14,274,28,2,1,0,2
1717 Toronto Road,1928,15,467,88,3,1,3,1
1718 Toronto Road,1887,24,310,86,3,2,0,1
1719 Toronto Road,2012,48,629,23,3,0,1,2
1720 Toronto Road,1971,10,533,98,2,0,0,2
1721 Toronto Road,1866,25,481,14,2,2,2,1
1722 Toronto Road,2022,8,83,41,3,0,0,1
1723 Toronto Road,1876,8,101,9,3,3,2,2
1724 Toronto Road,2005,12,117,19,1,1,1,2
1725 Toronto Road,1899,6,269,28,2,3,1,1
1726 Toronto Road,1874,17,575,16,3,3,0,2
1727 Toronto Road,1961,14,100,56,1,0,1,0
1728 Toronto Road,1910,34,506,60,0,2,0,1
1729 Toronto Road,1935,43,53,52,1,1,0,1
1730 Toronto Road,2004,27,447,89,2,2,3,1
1731 Toronto Road,1991,18,405,97,2,2,3,1
1732 Toronto Road,1950,14,555,71,2,2,0,3
1733 Toronto Road,1842,24,690,18,2,3,2,1
1734 Toronto Road,1983,15,115,72,0,2,2,0
1735 Toronto Road,1847,36,64,77,3,3,0,1
1736 Toronto Road,1921,38,233,8,0,1,2,2
1737 Toronto Road,1979,19,82,3,0,1,1,2
1738 Toronto Road,2012,14,311,86,3,3,2,0
1739 Toronto Road,1863,51,509,39,3,1,3,1
1740 Toronto Road,1911,6,560,12,2,0,3,2
1741 Toronto Road,1995,18,408,40,1,0,1,2
1742 Toronto Road,1871,50,407,7,0,1,0,1
1743 Toronto Road,1841,44,681,34,0,3,0,0
1744 Toronto Road,1840,41,595,87,0,1,3,0
1745 Toronto Road,1899,17,494,61,3,1,0,1
1746 Toronto Road,1957,49,713,64,1,3,3,1
1747 Toronto Road,1950,15,58,19,0,3,2,0
1748 Toronto Road,1895,44,346,24,3,0,2,0
1749 Toronto Road,1991,50,303,81,3,3,0,2
1750 Toronto Road,1879,4,649,53,3,1,3,3
1751 Toronto Road,1926,23,40,30,1,1,3,3
1752 Toronto Road,1950,16,22,64,3,3,1,1
1753 Toronto Road,1961,41,580,37,0,3,1,0
1754 Toronto Road,1992,33,678,85,2,3,3,0
1755 Toronto Road,1873,29,86,93,2,1,2,3
1756 Toronto Road,1891,7,116,54,2,0,1,3
1757 Toronto Road,1862,20,694,92,1,3,3,3
1758 Toronto Road,1885,25,108,85,2,2,1,2
1759 Toronto Road,1858,29,251,50,3,3,0,2
1760 Toronto Road,1951,29,448,55,3,3,3,3
1761 Toronto Road,1969,37,146,29,0,2,3,2
1762 Toronto Road,1844,38,641,82,0,0,0,0
1763 Toronto Road,1947,35,291,25,3,2,2,3
1764 Toronto Road,1935,37,401,66,2,2,3,0
1765 Toronto Road,1965,51,586,17,3,3,3,0
1766 Toronto Road,1957,6,136,50,0,0,3,3
1767 Toronto Road,1966,29,383,36,0,0,0,1
1768 Toronto Road,1893,29,135,71,2,1,0,2
1769 Toronto Road,1860,24,610,18,0,3,3,2
1770 Toronto Road,2006,49,400,83,3,1,3,1
1771 Toronto Road,2001,24,58,7,3,0,0,1
1772 Toronto Road,1905,22,23,46,1,2,3,1
1773 Toronto Road,1851,3,381,30,2,1,0,2
1774 Toronto Road,1982,5,374,88,0,2,2,2
1775 Toronto Road,2015,28,416,33,3,3,2,0
1776 Toronto Road,1922,3,154,65,0,2,2,2
1777 Toronto Road,1950,38,112,16,3,2,3,2
1778 Toronto Road,1976,46,359,48,3,2,0,1
1779 Toronto Road,1927,16,519,79,1,0,0,2
1780 Toronto Road,1883,16,421,3,2,0,2,3
1781 Toronto Road,2013,37,423,14,2,1,1,3
1782 Toronto Road,1879,20,247,83,1,3,0,3
1783 Toronto Road,1962,41,581,39,3,3,1,3
1784 Toronto Road,1939,11,712,79,0,0,2,3
1785 Toronto Road,1998,21,428,19,1,3,1,2
1786 Toronto Road,1842,16,462,33,3,2,2,3
1787 Toronto Road,1867,33,497,60,2,3,2,0
1788 Toronto Road,1983,28,285,93,0,1,0,1
1789 Toronto Road,1853,24,138,14,3,3,0,0
1790 Toronto Road,1954,5,618,23,3,3,1,3
1791 Toronto Road,1969,34,88,86,1,1,3,2
1792 Toronto Road,2011,22,251,50,2,2,0,2
1793 Toronto Road,1918,3,547,2,1,3,3,0
1794 Toronto Road,1935,20,54,61,1,3,1,2
1795 Toronto Road,1848,33,94,67,0,0,2,3
1796 Toronto Road,1890,25,81,14,2,1,1,1
1797 Toronto Road,1879,32,380,55,2,2,1,0
1798 Toronto Road,1978,44,386,18,1,0,0,0
1799 Toronto Road,1900,12,499,86,2,0,3,3
1800 Toronto Road,1964,39,44,40,0,2,2,1
1801 Toronto Road,2006,14,616,46,1,0,0,3
1802 Toronto Road,1859,6,372,41,0,1,2,3
1803 Toronto Road,1962,22,654,13,0,3,0,2
1804 Toronto Road,1965,33,197,59,3,2,0,1
1805 Toronto Road,1999,48,540,90,3,3,3,3
1806 Toronto Road,1959,26,467,13,0,1,1,1
1807 Toronto Road,1842,19,518,94,3,3,1,0
1808 Toronto Road,1863,16,429,81,2,0,0,1
1809 Toronto Road,1880,25,266,2,0,2,3,3
1810 Toronto Road,1999,33,38,83,1,0,0,3
1811 Toronto Road,1849,40,118,51,0,3,3,0
1812 Toronto Road,1916,10,591,12,2,1,2,2
1813 Toronto Road,1976,47,504,69,0,1,1,1
1814 Toronto Road,1935,29,126,51,0,3,3,3
1815 Toronto Road,1856,31,606,47,2,0,2,0
1816 Toronto Road,1976,16,588,76,0,0,2,3
1817 Toronto Road,1954,47,692,89,0,3,2,1
1818 Toronto Road,1839,46,10,89,3,3,1,0
1819 Toronto Road,1986,22,699,8,2,2,1,0
1820 Toronto Road,1848,29,131,60,2,2,0,1
1821 Toronto Road,1857,42,106,59,2,1,0,0
1822 Toronto Road,1911,13,30,73,0,0,3,2
1823 Toronto Road,1854,23,448,72,0,1,0,0
1824 Toronto Road,1838,50,70,100,1,1,2,2
1825 Toronto Road,2011,16,288,48,0,0,3,0
1826 Toronto Road,1845,41,628,8,0,0,1,3
1827 Toronto Road,1988,14,307,86,1,0,3,3
1828 Toronto Road,1945,20,325,25,0,2,1,1
1829 Toronto Road,1874,47,393,78,0,1,1,3
1830 Toronto Road,2007,11,77,23,2,0,2,3
1831 Toronto Road,1854,25,550,91,0,3,1,3
1832 Toronto Road,1995,39,581,8,1,0,2,1
1833 Toronto Road,1892,42,419,99,1,0,2,1
1834 Toronto Road,1876,42,451,77,0,0,0,1
1835 Toronto Road,1945,18,129,13,3,1,0,0
1836 Toronto Road,2020,30,449,3,2,1,3,1
1837 Toronto Road,1876,25,355,8,0,0,3,2
1838 Toronto Road,1931,14,438,75,1,1,0,2
1839 Toronto Road,1840,32,399,10,0,3,1,2
1840 Toronto Road,1990,37,518,41,2,1,0,2
1841 Toronto Road,1912,18,444,35,3,3,3,0
1842 Toronto Road,1877,7,668,55,3,3,3,0
1843 Toronto Road,1844,15,486,81,1,3,3,2
1844 Toronto Road,1905,19,393,78,0,1,2,2
1845 Toronto Road,1923,37,171,96,0,0,1,2
1846 Toronto Road,2006,45,368,35,3,2,3,3
1847 Toronto Road,1857,5,19,69,3,0,3,1
1848 Toronto Road,1952,29,638,25,1,0,0,2
1849 Toronto Road,1885,23,554,78,0,0,3,1
1850 Toronto Road,1900,15,306,71,0,1,0,1
1851 Toronto Road,1845,38,514,18,0,1,2,2
1852 Toronto Road,1965,20,56,66,1,0,3,0
1853 Toronto Road,1864,47,222,10,0,2,2,3
1854 Toronto Road,1856,5,650,32,2,3,3,2
1855 Toronto Road,1951,36,339,47,3,1,2,3
1856 Toronto Road,1945,36,415,16,3,2,1,0
1857 Toronto Road,2022,44,367,1,2,0,0,1
1858 Toronto Road,1960,17,410,57,0,1,1,2
1859 Toronto Road,1861,36,265,69,2,3,1,2
